
Report for ../Lab1Assigment1/knapsack-200.txt

Checking for geometric cooling different values
iterations=50, T_max=10000, T_min=0.1, alpha=0.95, neighbours checked=450 => result=132446
iterations=50, T_max=10000, T_min=0.1, alpha=0.99, neighbours checked=450 => result=132539
iterations=50, T_max=10000, T_min=0.01, alpha=0.9, neighbours checked=500 => result=131791
iterations=50, T_max=10000, T_min=0.01, alpha=0.95, neighbours checked=500 => result=132509
iterations=50, T_max=10000, T_min=0.01, alpha=0.99, neighbours checked=500 => result=131319
iterations=100, T_max=100, T_min=1, alpha=0.9, neighbours checked=500 => result=131321
iterations=100, T_max=100, T_min=1, alpha=0.95, neighbours checked=500 => result=131441
iterations=100, T_max=100, T_min=1, alpha=0.99, neighbours checked=500 => result=130940
iterations=100, T_max=100, T_min=0.1, alpha=0.9, neighbours checked=700 => result=132128
iterations=100, T_max=100, T_min=0.1, alpha=0.95, neighbours checked=700 => result=132596
iterations=100, T_max=100, T_min=0.1, alpha=0.99, neighbours checked=700 => result=131042
iterations=100, T_max=100, T_min=0.01, alpha=0.9, neighbours checked=800 => result=131310
iterations=100, T_max=100, T_min=0.01, alpha=0.95, neighbours checked=800 => result=132548
iterations=100, T_max=100, T_min=0.01, alpha=0.99, neighbours checked=800 => result=132440
iterations=100, T_max=1000, T_min=1, alpha=0.9, neighbours checked=700 => result=132046
iterations=100, T_max=1000, T_min=1, alpha=0.95, neighbours checked=700 => result=132612
iterations=100, T_max=1000, T_min=1, alpha=0.99, neighbours checked=700 => result=132878
iterations=100, T_max=1000, T_min=0.1, alpha=0.9, neighbours checked=800 => result=132514
iterations=100, T_max=1000, T_min=0.1, alpha=0.95, neighbours checked=800 => result=132312
iterations=100, T_max=1000, T_min=0.1, alpha=0.99, neighbours checked=800 => result=133126
iterations=100, T_max=1000, T_min=0.01, alpha=0.9, neighbours checked=900 => result=131944
iterations=100, T_max=1000, T_min=0.01, alpha=0.95, neighbours checked=900 => result=132937
iterations=100, T_max=1000, T_min=0.01, alpha=0.99, neighbours checked=900 => result=132918
iterations=100, T_max=10000, T_min=1, alpha=0.9, neighbours checked=800 => result=132414
iterations=100, T_max=10000, T_min=1, alpha=0.95, neighbours checked=800 => result=131578
iterations=100, T_max=10000, T_min=1, alpha=0.99, neighbours checked=800 => result=131490
iterations=100, T_max=10000, T_min=0.1, alpha=0.9, neighbours checked=900 => result=132213
iterations=100, T_max=10000, T_min=0.1, alpha=0.95, neighbours checked=900 => result=132844
iterations=100, T_max=10000, T_min=0.1, alpha=0.99, neighbours checked=900 => result=131956
iterations=100, T_max=10000, T_min=0.01, alpha=0.9, neighbours checked=1000 => result=132242
iterations=100, T_max=10000, T_min=0.01, alpha=0.95, neighbours checked=1000 => result=131915
iterations=100, T_max=10000, T_min=0.01, alpha=0.99, neighbours checked=1000 => result=131688
iterations=200, T_max=100, T_min=1, alpha=0.9, neighbours checked=1000 => result=131721
iterations=200, T_max=100, T_min=1, alpha=0.95, neighbours checked=1000 => result=132571
iterations=200, T_max=100, T_min=1, alpha=0.99, neighbours checked=1000 => result=132005
iterations=200, T_max=100, T_min=0.1, alpha=0.9, neighbours checked=1400 => result=131439
iterations=200, T_max=100, T_min=0.1, alpha=0.95, neighbours checked=1400 => result=132639
iterations=200, T_max=100, T_min=0.1, alpha=0.99, neighbours checked=1400 => result=132020
iterations=200, T_max=100, T_min=0.01, alpha=0.9, neighbours checked=1600 => result=130942
iterations=200, T_max=100, T_min=0.01, alpha=0.95, neighbours checked=1600 => result=131946
iterations=200, T_max=100, T_min=0.01, alpha=0.99, neighbours checked=1600 => result=131647
iterations=200, T_max=1000, T_min=1, alpha=0.9, neighbours checked=1400 => result=132234
iterations=200, T_max=1000, T_min=1, alpha=0.95, neighbours checked=1400 => result=133207
iterations=200, T_max=1000, T_min=1, alpha=0.99, neighbours checked=1400 => result=131806
iterations=200, T_max=1000, T_min=0.1, alpha=0.9, neighbours checked=1600 => result=132426
iterations=200, T_max=1000, T_min=0.1, alpha=0.95, neighbours checked=1600 => result=132934
iterations=200, T_max=1000, T_min=0.1, alpha=0.99, neighbours checked=1600 => result=131547
iterations=200, T_max=1000, T_min=0.01, alpha=0.9, neighbours checked=1800 => result=132442
iterations=200, T_max=1000, T_min=0.01, alpha=0.95, neighbours checked=1800 => result=132715
iterations=200, T_max=1000, T_min=0.01, alpha=0.99, neighbours checked=1800 => result=132624
iterations=200, T_max=10000, T_min=1, alpha=0.9, neighbours checked=1600 => result=132706
iterations=200, T_max=10000, T_min=1, alpha=0.95, neighbours checked=1600 => result=133005
iterations=200, T_max=10000, T_min=1, alpha=0.99, neighbours checked=1600 => result=132627
iterations=200, T_max=10000, T_min=0.1, alpha=0.9, neighbours checked=1800 => result=132242
iterations=200, T_max=10000, T_min=0.1, alpha=0.95, neighbours checked=1800 => result=132939
iterations=200, T_max=10000, T_min=0.1, alpha=0.99, neighbours checked=1800 => result=132649
iterations=200, T_max=10000, T_min=0.01, alpha=0.9, neighbours checked=2000 => result=132647
iterations=200, T_max=10000, T_min=0.01, alpha=0.95, neighbours checked=2000 => result=133001
iterations=200, T_max=10000, T_min=0.01, alpha=0.99, neighbours checked=2000 => result=132734
iterations=300, T_max=100, T_min=1, alpha=0.9, neighbours checked=1500 => result=131704
iterations=300, T_max=100, T_min=1, alpha=0.95, neighbours checked=1500 => result=131544
iterations=300, T_max=100, T_min=1, alpha=0.99, neighbours checked=1500 => result=131943
iterations=300, T_max=100, T_min=0.1, alpha=0.9, neighbours checked=2100 => result=131247
iterations=300, T_max=100, T_min=0.1, alpha=0.95, neighbours checked=2100 => result=132138
iterations=300, T_max=100, T_min=0.1, alpha=0.99, neighbours checked=2100 => result=131424
iterations=300, T_max=100, T_min=0.01, alpha=0.9, neighbours checked=2400 => result=132594
iterations=300, T_max=100, T_min=0.01, alpha=0.95, neighbours checked=2400 => result=131710
iterations=300, T_max=100, T_min=0.01, alpha=0.99, neighbours checked=2400 => result=130946
iterations=300, T_max=1000, T_min=1, alpha=0.9, neighbours checked=2100 => result=132615
iterations=300, T_max=1000, T_min=1, alpha=0.95, neighbours checked=2100 => result=132134
iterations=300, T_max=1000, T_min=1, alpha=0.99, neighbours checked=2100 => result=132262
iterations=300, T_max=1000, T_min=0.1, alpha=0.9, neighbours checked=2400 => result=133071
iterations=300, T_max=1000, T_min=0.1, alpha=0.95, neighbours checked=2400 => result=132844
iterations=300, T_max=1000, T_min=0.1, alpha=0.99, neighbours checked=2400 => result=132763
iterations=300, T_max=1000, T_min=0.01, alpha=0.9, neighbours checked=2700 => result=132519
iterations=300, T_max=1000, T_min=0.01, alpha=0.95, neighbours checked=2700 => result=133667
iterations=300, T_max=1000, T_min=0.01, alpha=0.99, neighbours checked=2700 => result=132575
