
Report for ../Lab1Assigment1/knapsack-20.txt

Checking for logarithmic cooling different values
iterations=40, T_max=1000, T_min=0.001, alpha=0.9, neighbours checked=760 => result=648
iterations=40, T_max=1000, T_min=0.001, alpha=0.95, neighbours checked=760 => result=621
iterations=40, T_max=1000, T_min=0.001, alpha=0.99, neighbours checked=760 => result=642
iterations=40, T_max=1000, T_min=0.001, alpha=0.999, neighbours checked=760 => result=670
iterations=40, T_max=10000, T_min=0.1, alpha=0.9, neighbours checked=680 => result=663
iterations=40, T_max=10000, T_min=0.1, alpha=0.95, neighbours checked=680 => result=637
iterations=40, T_max=10000, T_min=0.1, alpha=0.99, neighbours checked=680 => result=658
iterations=40, T_max=10000, T_min=0.1, alpha=0.999, neighbours checked=680 => result=670
iterations=40, T_max=10000, T_min=0.01, alpha=0.9, neighbours checked=760 => result=694
iterations=40, T_max=10000, T_min=0.01, alpha=0.95, neighbours checked=760 => result=665
iterations=40, T_max=10000, T_min=0.01, alpha=0.99, neighbours checked=760 => result=673
iterations=40, T_max=10000, T_min=0.01, alpha=0.999, neighbours checked=760 => result=614
iterations=40, T_max=10000, T_min=0.001, alpha=0.9, neighbours checked=840 => result=679
iterations=40, T_max=10000, T_min=0.001, alpha=0.95, neighbours checked=840 => result=619
iterations=40, T_max=10000, T_min=0.001, alpha=0.99, neighbours checked=840 => result=628
iterations=40, T_max=10000, T_min=0.001, alpha=0.999, neighbours checked=840 => result=624
iterations=40, T_max=100000, T_min=0.1, alpha=0.9, neighbours checked=760 => result=667
iterations=40, T_max=100000, T_min=0.1, alpha=0.95, neighbours checked=760 => result=696
iterations=40, T_max=100000, T_min=0.1, alpha=0.99, neighbours checked=760 => result=623
iterations=40, T_max=100000, T_min=0.1, alpha=0.999, neighbours checked=760 => result=696
iterations=40, T_max=100000, T_min=0.01, alpha=0.9, neighbours checked=840 => result=633
iterations=40, T_max=100000, T_min=0.01, alpha=0.95, neighbours checked=840 => result=684
iterations=40, T_max=100000, T_min=0.01, alpha=0.99, neighbours checked=840 => result=671
iterations=40, T_max=100000, T_min=0.01, alpha=0.999, neighbours checked=840 => result=641
iterations=40, T_max=100000, T_min=0.001, alpha=0.9, neighbours checked=920 => result=663
iterations=40, T_max=100000, T_min=0.001, alpha=0.95, neighbours checked=920 => result=657
iterations=40, T_max=100000, T_min=0.001, alpha=0.99, neighbours checked=920 => result=621
iterations=40, T_max=100000, T_min=0.001, alpha=0.999, neighbours checked=920 => result=638

Report for ../Lab1Assigment1/knapsack-20.txt

Checking for linear cooling different values
iterations=5, T_max=100, T_min=0.1, alpha=0.9, neighbours checked=35 => result=558
iterations=5, T_max=100, T_min=0.1, alpha=0.95, neighbours checked=35 => result=629
iterations=5, T_max=100, T_min=0.1, alpha=0.99, neighbours checked=35 => result=614
iterations=5, T_max=100, T_min=0.1, alpha=0.999, neighbours checked=35 => result=569
iterations=5, T_max=100, T_min=0.01, alpha=0.9, neighbours checked=40 => result=497
iterations=5, T_max=100, T_min=0.01, alpha=0.95, neighbours checked=40 => result=618
iterations=5, T_max=100, T_min=0.01, alpha=0.99, neighbours checked=40 => result=524
iterations=5, T_max=100, T_min=0.01, alpha=0.999, neighbours checked=40 => result=537
iterations=5, T_max=100, T_min=0.001, alpha=0.9, neighbours checked=45 => result=566
iterations=5, T_max=100, T_min=0.001, alpha=0.95, neighbours checked=45 => result=552
iterations=5, T_max=100, T_min=0.001, alpha=0.99, neighbours checked=45 => result=533
iterations=5, T_max=100, T_min=0.001, alpha=0.999, neighbours checked=45 => result=566
iterations=5, T_max=1000, T_min=0.1, alpha=0.9, neighbours checked=40 => result=581
iterations=5, T_max=1000, T_min=0.1, alpha=0.95, neighbours checked=40 => result=594
iterations=5, T_max=1000, T_min=0.1, alpha=0.99, neighbours checked=40 => result=567
iterations=5, T_max=1000, T_min=0.1, alpha=0.999, neighbours checked=40 => result=490
iterations=5, T_max=1000, T_min=0.01, alpha=0.9, neighbours checked=45 => result=548
